width,height,out_width,out_height,engine,mode,round,frame,input,upload_ms,record_ms,submit_ms,wait_ms,query_ms,retire_ms,read_ms,total_ms,device_ms
1280,720,2560,1440,ogpu,resident,0,20,0,3e-05,0.00159,0.086629,0.814632,0.02019,0.00019,2e-05,0.923281,0.7434
1280,720,2560,1440,ogpu,resident,0,21,1,2e-05,0.00346,0.085859,0.819522,0.0213,0.00025,8e-05,0.930491,0.74288
1280,720,2560,1440,ogpu,resident,0,22,0,2e-05,0.00181,0.088009,0.819112,0.01789,0.00017,3e-05,0.927041,0.74128
1280,720,2560,1440,ogpu,resident,0,23,1,2e-05,0.00429,0.088409,0.813882,0.02179,0.00021,3e-05,0.928631,0.74268
1280,720,2560,1440,ogpu,resident,0,24,0,3e-05,0.00153,0.094179,0.813142,0.02171,0.00019,3e-05,0.930811,0.74072
1280,720,2560,1440,ogpu,resident,0,25,1,3e-05,0.00151,0.091799,0.816592,0.02263,0.00021,3e-05,0.932801,0.74436
1280,720,2560,1440,ogpu,resident,0,26,0,2e-05,0.00166,0.085619,0.835742,0.02448,0.00034,4e-05,0.947901,0.7416
1280,720,2560,1440,ogpu,resident,0,27,1,3e-05,0.00256,0.123078,0.811053,0.01402,0.0002,2e-05,0.950961,0.7444
1280,720,2560,1440,ogpu,resident,0,28,0,3e-05,0.00186,0.076639,0.840282,0.016249,0.00021,3e-05,0.9353,0.74292
1280,720,2560,1440,ogpu,resident,0,29,1,3e-05,0.00193,0.08767,0.809592,0.01377,0.00018,3e-05,0.913202,0.74344
1280,720,2560,1440,ogpu,resident,0,30,0,3e-05,0.00146,0.074679,0.808342,0.0143,0.00018,3e-05,0.899021,0.74412
1280,720,2560,1440,ogpu,resident,0,31,1,3e-05,0.0016,0.083209,0.835602,0.01549,0.00018,3e-05,0.936141,0.7432
1280,720,2560,1440,ogpu,resident,0,32,0,3e-05,0.00184,0.084259,0.820042,0.01694,0.00024,7e-05,0.923421,0.74296
1280,720,2560,1440,ogpu,resident,0,33,1,3e-05,0.00215,0.090339,0.807292,0.01353,0.00018,3e-05,0.913551,0.74212
1280,720,2560,1440,ogpu,resident,0,34,0,3e-05,0.00159,0.07415,0.804102,0.013,0.00015,3e-05,0.893052,0.74104
1280,720,2560,1440,ogpu,resident,0,35,1,2e-05,0.00153,0.071369,0.807282,0.01322,0.00018,2e-05,0.893621,0.74196
1280,720,2560,1440,ogpu,resident,0,36,0,2e-05,0.00147,0.073299,0.812122,0.01558,0.00019,3e-05,0.902711,0.7436
1280,720,2560,1440,ogpu,resident,0,37,1,3e-05,0.00177,0.089659,0.820032,0.01321,0.00017,3e-05,0.924901,0.74292
1280,720,2560,1440,ogpu,resident,0,38,0,3e-05,0.00151,0.07259,0.814972,0.016829,0.00026,3e-05,0.906221,0.7426
1280,720,2560,1440,ogpu,resident,0,39,1,4e-05,0.00196,0.08677,0.822482,0.01293,0.00019,3e-05,0.924402,0.74584
1280,720,2560,1440,ogpu,end-to-end,0,10,0,0.143689,0.00268,0.095599,3.602215,0.01845,0.00028,0.725653,4.588566,3.50956
1280,720,2560,1440,ogpu,end-to-end,0,11,1,0.129519,0.00249,0.097769,3.588355,0.01767,0.00025,0.725683,4.561736,3.50436
1280,720,2560,1440,ogpu,end-to-end,0,12,0,0.150558,0.00264,0.105079,3.572376,0.015119,0.00023,0.727913,4.573915,3.49804
1280,720,2560,1440,ogpu,end-to-end,0,13,1,0.135139,0.0024,0.093989,3.579426,0.014889,0.0003,0.765043,4.591186,3.4958
1280,720,2560,1440,ogpu,end-to-end,0,14,0,0.158139,0.00267,0.095649,3.586045,0.04022,0.00032,0.757272,4.640315,3.49772
1280,720,2560,1440,ogpu,end-to-end,0,15,1,0.152219,0.00238,0.093939,3.627025,0.01607,0.00024,0.766832,4.658705,3.49664
1280,720,2560,1440,ogpu,end-to-end,0,16,0,0.150149,0.00208,0.091059,3.582305,0.01672,0.00029,0.765333,4.607936,3.50496
1280,720,2560,1440,ogpu,end-to-end,0,17,1,0.140518,0.00242,0.105659,3.586426,0.017129,0.00027,0.790103,4.642525,3.498
1280,720,2560,1440,ogpu,end-to-end,0,18,0,0.170468,0.00235,0.107189,3.580765,0.01727,0.00026,0.747093,4.625395,3.49644
1280,720,2560,1440,ogpu,end-to-end,0,19,1,0.141159,0.00222,0.090939,3.573595,0.01458,0.00023,0.725843,4.548566,3.5008
1280,720,2560,1440,ogpu,end-to-end,0,20,0,0.150159,0.00252,0.106079,3.576785,0.01546,0.0002,0.719783,4.570986,3.4984
1280,720,2560,1440,ogpu,end-to-end,0,21,1,0.135619,0.00273,0.112909,3.596625,0.022449,0.00254,0.753123,4.625995,3.50088
1280,720,2560,1440,ogpu,end-to-end,0,22,0,0.153309,0.0033,0.128508,3.576436,0.02295,0.00025,0.725343,4.610096,3.49564
1280,720,2560,1440,ogpu,end-to-end,0,23,1,0.133119,0.002289,0.108579,3.574746,0.024849,0.00026,0.741693,4.585535,3.49544
1280,720,2560,1440,ogpu,end-to-end,0,24,0,0.151259,0.00227,0.098999,3.586935,0.01987,0.0003,0.731753,4.591386,3.50232
1280,720,2560,1440,ogpu,end-to-end,0,25,1,0.140119,0.00279,0.122039,3.591165,0.020919,0.00039,0.767433,4.644855,3.49696
1280,720,2560,1440,ogpu,end-to-end,0,26,0,0.147359,0.00289,0.106829,3.595255,0.02702,0.00044,0.743013,4.622806,3.50016
1280,720,2560,1440,ogpu,end-to-end,0,27,1,0.147018,0.00289,0.116019,3.592865,0.02975,0.00034,0.707573,4.596455,3.50448
1280,720,2560,1440,ogpu,end-to-end,0,28,0,0.152309,0.00244,0.100439,3.579455,0.02586,0.00025,0.756612,4.617365,3.4994
1280,720,2560,1440,ogpu,end-to-end,0,29,1,0.134319,0.00236,0.091829,3.637745,0.02971,0.00027,0.719323,4.615556,3.49672
